Dudley,Montague,12
Dudley,Cho Chang,2
Dudley,Albus Dumbledore,27
Dudley,Uncle Vernon,231
Dudley,Grawp,33
Dudley,Muriel,5
Dudley,Scabior,16
Petunia,Harry,180004
Petunia,Dudley,47424
Petunia,Vernon,90214
Petunia,Figg,57
Petunia,Marge,14716
Petunia,Lily,2062
Petunia,Hedwig,148
Petunia,McGonagall,6
Petunia,Dobby,570
Petunia,Gilderoy Lockhart,7
Petunia,Sprout,14
Petunia,Percy,3
Petunia,Weasley,661
Petunia,Hermione,662
Petunia,Errol,15
Petunia,Fred,438
Petunia,George,258
Petunia,Rita Skeeter,21
Petunia,Ollivander,3
Petunia,Crouch,12
Petunia,Lord Voldemort,164
Petunia,Albus Dumbledore,59
Petunia,Kreacher,72
Petunia,Uncle Vernon,65
Petunia,Bill,12
Petunia,Mundungus Fletcher,3
Petunia,James,7
Vernon,Harry,537502
Vernon,Dudley,89296
Vernon,Petunia,90214
Vernon,Figg,51
Vernon,Marge,59390
Vernon,Hedwig,596
Vernon,Hermione,730
Vernon,Dobby,630
Vernon,Fred,603
Vernon,George,579
Vernon,Weasley,2103
Vernon,Percy,19
Vernon,Lupin,52
Vernon,McGonagall,4
Vernon,Dean Thomas,2
Vernon,Crookshanks,5
Vernon,Ludo Bagman,6
Vernon,Barty,5
Vernon,Crouch,16
Vernon,Lord Voldemort,232
Vernon,Albus Dumbledore,124
Vernon,Grawp,21
Vernon,Arthur,10
Vernon,Moody,140
Vernon,Bellatrix,22
Vernon,Kreacher,264
Figg,Harry,665
Figg,Vernon,51
Figg,Dudley,306
Figg,Petunia,57
Marge,Vernon,59389
Marge,Harry,87815
Marge,Petunia,14716
Marge,Dudley,5909
Marge,Sirius Black,8
Marge,Weasley,5
Dennis,Dudley,45
Dennis,Harry,64
Great,Dudley,44
Great,Harry,325
Great,Lee Jordan,3
Great,Karkaroff,16
Great,Maxime,1
Great,Fred,26
Great,George,22
Great,Hermione,45
Tom,Harry,140
Dedalus Diggle,Harry,750
Dedalus Diggle,Kingsley Shacklebolt,5
Dedalus Diggle,Elphias Doge,1
Dedalus Diggle,Moody,46
Quirrell,Harry,100616
Quirrell,Ollivander,24
Quirrell,Albus Dumbledore,3
